,dataset_id,effect,num_students,algorithm_name,avg_reward,power,FPR,prop_opt,prop_sup,arm_1_mean_mean,arm_2_mean_mean,superior_arm_mean_mean,inferior_arm_mean_mean,more_sample_arm_mean_mean,less_sample_arm_mean_mean,avg_reward_se,power_se,FPR_se,prop_opt_se,prop_sup_se,arm_1_mean_se,arm_2_mean_se,superior_arm_mean_se,inferior_arm_mean_se
78,246627,0,514,ts,17.8758171206,,0.097,,0.6999416342,17.2726938074,17.3050430969,18.1558877363,16.421849168,18.082212999730995,16.494189274296236,0.4995915268,,0.0093590064,,0.1828761393,1.8105349148,1.7575569781,0.5255133544,2.1419517463
6,246627,0,514,exp3,17.8724688716,,0.058,,0.5507003891,17.8145743158,17.8199259361,18.1323432684,17.5021569835,17.96770836496903,17.66679188693438,0.3724164228,,0.0073916169,,0.1389479045,0.5565796737,0.5638818773,0.4228587367,0.5003809915
28,246627,0,514,exp31,17.8511546693,,0.05,,0.5105544747,17.8355742202,17.8458668951,18.1313936089,17.5500475064,17.930776648601846,17.75120532267772,0.3747702653,,0.0068920244,,0.0457381524,0.508764712,0.5369807369,0.4233364389,0.4461473161
79,246627,0,514,exp3++,17.8814727626,,0.056,,0.5292140078,17.8247223573,17.8583989694,18.2580423688,17.425078958,18.1422764093365,17.53865425593444,0.5139566638,,0.0072707634,,0.0449890995,0.7445051835,0.7349362637,0.5774212375,0.6439386848
51,246647,0,538,uniform,21.7550241636,,0.048,,0.5006579926,21.7624939407,21.7470535252,22.0745387896,21.4350086763,21.761182729043938,21.750383324229382,0.4135840262,,0.0067598817,,0.0209025332,0.5775640236,0.5703468647,0.4809491721,0.472422969
80,246647,0,538,ts,21.7564535316,,0.071,,0.6959535316,21.3746853074,21.3328929897,21.9766510101,20.7309272871,21.915361446988598,20.791629489554282,0.4186602726,,0.0081215146,,0.1803366959,1.2523595801,1.2951178185,0.4307695493,1.5116652337
7,246647,0,538,exp3,21.7678327138,,0.052,,0.5421710037,21.7336541752,21.7331818109,21.979275264,21.4875607222,21.823221214088786,21.64384153784374,0.2907717524,,0.007021111,,0.1524034433,0.4373110825,0.4495379278,0.3284197386,0.4056776096
29,246647,0,538,exp31,21.7657574349,,0.055,,0.507464684,21.7480849437,21.7736473971,21.994073244,21.5276590969,21.79507951213906,21.72577736403121,0.2818934298,,0.0072093689,,0.045660533,0.4049414474,0.4087094214,0.3287115045,0.3384159497
81,246647,0,538,exp3++,21.7695260223,,0.043,,0.5250501859,21.745635628,21.7424861431,22.0808320027,21.4072897684,22.00656643165613,21.485109242800746,0.4160822206,,0.0064149045,,0.0324956543,0.6072221367,0.5831062948,0.4535295672,0.5255644536
52,250476,0,169,uniform,18.0100532544,,0.051,,0.4996213018,17.9920197244,18.0255468645,18.5189360981,17.4986304908,18.00575504448692,18.011811544408136,0.6258842112,,0.006956939,,0.0397560503,0.9015619396,0.8840206988,0.6959303039,0.7681391849
